Samples4Survey FeSe_0706
50.08 81209.28
49.08 77497.26
48.08 69104.18
47.08 61768.36
46.08 58435.99
45.08 57477.14
44.08 56538.72
43.08 57359.65
42.08 57543.19
41.08 57420.32
40.08 56971.13
39.08 70224.38
38.08 105994.63
37.08 153142.46
36.08 144260.49
35.08 87544.37
34.08 53521.13
33.08 45712.65
32.08 42401.85
31.08 39736.72
30.08 37513.9
29.08 36721.88
28.08 34363.2
27.08 34966.24
26.08 39430.01
25.08 41481.94
24.08 46750.81
23.08 57220.92
22.08 69986.78
21.08 88996.54
20.08 116594.98
19.08 150239.02
18.08 133630.5
17.08 65089.59
16.08 30764.31
15.08 22784.35
14.08 20538.53
13.08 18384.45
12.08 17481.07
11.08 15733.84
10.08 15567.86
9.08 15298.14
8.08 19601.84
7.08 31152.26
6.08 40064.86
5.08 39325.64
4.08 34388.7
3.08 29565.94
2.08 20738.03
1.08 11116.96
0.08 5341.74
-0.92 2080.41
-1.92 803.24
-2.92 751.53
-3.92 522.77
-4.92 483.6
